program_name,attempt_number,provider,model,start_time,end_time,duration_seconds,prompt_summary,llm_output,parsed_rf,check_status,counterexample,tokens_used,empty_output_reason
MultDisj,1,openrouter,openai/gpt-5-mini,2026-03-15T20:12:00.726401,2026-03-15T20:13:07.175684,66.449283,"vars=['n', 'm', 'b'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(n + m + 2 - 2*b)],[ReLU(n + m + 2 - 2*b)],NO,"{
  ""m"": 1,
  ""n"": 2
}",5537,
MultDisj,2,openrouter,openai/gpt-5-mini,2026-03-15T20:13:10.468267,2026-03-15T20:14:38.823375,88.355108,"vars=['n', 'm', 'b'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - a)+ReLU(m - a), ReLU(n - b)+ReLU(m - b)+ReLU(1 - a)]","[ReLU(n - a)+ReLU(m - a), ReLU(n - b)+ReLU(m - b)+ReLU(1 - a)]",NO,"{
  ""m"": 0,
  ""n"": 0
}",7132,
MultDisj,3,openrouter,openai/gpt-5-mini,2026-03-15T20:14:42.279606,2026-03-15T20:15:12.843212,30.563606,"vars=['n', 'm', 'b'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(n - a) + ReLU(m - b) + ReLU(1 - a)],[ReLU(n - a) + ReLU(m - b) + ReLU(1 - a)],NO,"{
  ""m"": 1,
  ""n"": 2
}",3893,
MultDisj,4,openrouter,openai/gpt-5-mini,2026-03-15T20:15:16.323388,2026-03-15T20:16:37.671554,81.348166,"vars=['n', 'm', 'b'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(n + m + 2 - 2*a)],[ReLU(n + m + 2 - 2*a)],NO,"{
  ""m"": 3,
  ""n"": 1
}",7520,
MultDisj,5,openrouter,openai/gpt-5-mini,2026-03-15T20:16:41.047208,2026-03-15T20:17:13.390179,32.342971,"vars=['n', 'm', 'b'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(m - b), ReLU(n - a)]","[ReLU(m - b), ReLU(n - a)]",NO,"{
  ""m"": 2,
  ""n"": 0
}",3756,
MultDisj,6,openrouter,openai/gpt-5-mini,2026-03-15T20:17:16.577007,2026-03-15T20:17:49.191053,32.614046,"vars=['n', 'm', 'b'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(m + 1 - b), ReLU(n + 1 - a)]","[ReLU(m + 1 - b), ReLU(n + 1 - a)]",YES,,3996,
Poly2VarsCondBreak,1,openrouter,openai/gpt-5-mini,2026-03-15T20:17:52.518938,2026-03-15T20:18:13.042424,20.523486,"vars=['n', 'm'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(n - a + 1)],[ReLU(n - a + 1)],YES,,2833,
PolyClosingIn,1,openrouter,openai/gpt-5-mini,2026-03-15T20:18:16.234806,2026-03-15T20:18:56.972899,40.738093,"vars=['n', 'm'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(m - 1), ReLU(m + 1)]","[ReLU(m - 1), ReLU(m + 1)]",YES,,4442,
Square2VarsDisj,1,openrouter,openai/gpt-5-mini,2026-03-15T20:19:00.590253,2026-03-15T20:19:33.696809,33.106556,"vars=['n', 'm', 'b'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - a + 1), ReLU(m - b + 1)]","[ReLU(n - a + 1), ReLU(m - b + 1)]",YES,,4156,
SquareDisj2Vars,1,openrouter,openai/gpt-5-mini,2026-03-15T20:19:36.965013,2026-03-15T20:20:02.342011,25.376998,"vars=['n', 'b'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - b), ReLU(n - a)]","[ReLU(n - b), ReLU(n - a)]",NO,"{
  ""n"": 0
}",3368,
SquareDisj2Vars,2,openrouter,openai/gpt-5-mini,2026-03-15T20:20:05.782309,2026-03-15T20:20:37.306186,31.523877,"vars=['n', 'b'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(1*n + -1*b + 1), ReLU(1*n + -1*a + 1)]","[ReLU(1*n + -1*b + 1), ReLU(1*n + -1*a + 1)]",YES,,3926,
TwoPol4VarsConj,1,openrouter,openai/gpt-5-mini,2026-03-15T20:20:40.662924,2026-03-15T20:21:03.455618,22.792694,"vars=['n', 'm', 'b'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(m - b)],[ReLU(m - b)],YES,,2648,
TwoPol4VarsDisj,1,openrouter,openai/gpt-5-mini,2026-03-15T20:21:07.140331,2026-03-15T20:21:40.541477,33.401146,"vars=['n', 'm', 'b'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - b), ReLU(m - b)]","[ReLU(n - b), ReLU(m - b)]",NO,"{
  ""m"": 2,
  ""n"": 3
}",3633,
TwoPol4VarsDisj,2,openrouter,openai/gpt-5-mini,2026-03-15T20:21:44.254949,2026-03-15T20:22:22.042437,37.787488,"vars=['n', 'm', 'b'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(n - b) + ReLU(m - b)],[ReLU(n - b) + ReLU(m - b)],NO,"{
  ""m"": 0,
  ""n"": 0
}",4542,
TwoPol4VarsDisj,3,openrouter,openai/gpt-5-mini,2026-03-15T20:22:25.897267,2026-03-15T20:22:46.576557,20.67929,"vars=['n', 'm', 'b'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - b), ReLU(m - b)]","[ReLU(n - b), ReLU(m - b)]",NO,"{
  ""m"": 2,
  ""n"": 3
}",3514,
TwoPol4VarsDisj,4,openrouter,openai/gpt-5-mini,2026-03-15T20:22:50.192800,2026-03-15T20:23:33.484314,43.291514,"vars=['n', 'm', 'b'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(n + m + 2 - 2*b)],[ReLU(n + m + 2 - 2*b)],NO,"{
  ""m"": 6,
  ""n"": 0
}",5178,
TwoPol4VarsDisj,5,openrouter,openai/gpt-5-mini,2026-03-15T20:23:37.224618,2026-03-15T20:23:55.416522,18.191904,"vars=['n', 'm', 'b'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - b), ReLU(m - b)]","[ReLU(n - b), ReLU(m - b)]",NO,"{
  ""m"": 2,
  ""n"": 3
}",3390,
TwoPol4VarsDisj,6,openrouter,openai/gpt-5-mini,2026-03-15T20:23:59.266737,2026-03-15T20:24:25.408811,26.142074,"vars=['n', 'm', 'b'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - b), ReLU(m - b)]","[ReLU(n - b), ReLU(m - b)]",NO,"{
  ""m"": 2,
  ""n"": 3
}",3804,
TwoPol4VarsDisj,7,openrouter,openai/gpt-5-mini,2026-03-15T20:24:29.073004,2026-03-15T20:25:21.251501,52.178497,"vars=['n', 'm', 'b'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(m - b), ReLU(n - b)]","[ReLU(m - b), ReLU(n - b)]",NO,"{
  ""m"": 0,
  ""n"": 1
}",6213,
TwoPol4VarsDisj,8,openrouter,openai/gpt-5-mini,2026-03-15T20:25:24.930573,2026-03-15T20:25:52.451926,27.521353,"vars=['n', 'm', 'b'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(n - b) + ReLU(m - b)],[ReLU(n - b) + ReLU(m - b)],NO,"{
  ""m"": 0,
  ""n"": 0
}",4220,
TwoPol4VarsDisj,9,openrouter,openai/gpt-5-mini,2026-03-15T20:25:56.367781,2026-03-15T20:26:19.124255,22.756474,"vars=['n', 'm', 'b'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(m - b), ReLU(n - b)]","[ReLU(m - b), ReLU(n - b)]",NO,"{
  ""m"": 0,
  ""n"": 1
}",3639,
TwoPol4VarsDisj,10,openrouter,openai/gpt-5-mini,2026-03-15T20:26:23.347391,2026-03-15T20:26:57.574355,34.226964,"vars=['n', 'm', 'b'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(n - b) + ReLU(m - b)],[ReLU(n - b) + ReLU(m - b)],NO,"{
  ""m"": 0,
  ""n"": 0
}",3942,
AliasDarteFeautrierGonnordSAS2010Fig1,1,openrouter,openai/gpt-5-mini,2026-03-15T20:27:01.452304,2026-03-15T20:28:19.375683,77.923379,"vars=['x', 'y', 'm', 'n'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x + 1), ReLU(y + 1)]","[ReLU(x + 1), ReLU(y + 1)]",NO,"{
  ""x"": 0,
  ""y"": 0,
  ""m"": 0,
  ""n"": 1
}",8592,
AliasDarteFeautrierGonnordSAS2010Fig1,2,openrouter,openai/gpt-5-mini,2026-03-15T20:28:23.028907,2026-03-15T20:28:42.934691,19.905784,"vars=['x', 'y', 'm', 'n'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x + 1), ReLU(y + 1)]","[ReLU(x + 1), ReLU(y + 1)]",NO,"{
  ""x"": 0,
  ""y"": 0,
  ""m"": 0,
  ""n"": 1
}",3617,
AliasDarteFeautrierGonnordSAS2010Fig1,3,openrouter,openai/gpt-5-mini,2026-03-15T20:28:46.538095,2026-03-15T20:30:43.315478,116.777383,"vars=['x', 'y', 'm', 'n'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x+1), ReLU(m+1 - y)]","[ReLU(x+1), ReLU(m+1 - y)]",NO,"{
  ""x"": 0,
  ""y"": 0,
  ""m"": 0,
  ""n"": 0
}",10170,
AliasDarteFeautrierGonnordSAS2010Fig1,4,openrouter,openai/gpt-5-mini,2026-03-15T20:30:47.130622,2026-03-15T20:31:10.454654,23.324032,"vars=['x', 'y', 'm', 'n'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x + 1), ReLU(y + 1)]","[ReLU(x + 1), ReLU(y + 1)]",NO,"{
  ""x"": 0,
  ""y"": 0,
  ""m"": 0,
  ""n"": 1
}",4101,
AliasDarteFeautrierGonnordSAS2010Fig1,5,openrouter,openai/gpt-5-mini,2026-03-15T20:31:14.156242,2026-03-15T20:31:34.701180,20.544938,"vars=['x', 'y', 'm', 'n'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x+1), ReLU(y+1)]","[ReLU(x+1), ReLU(y+1)]",NO,"{
  ""x"": 0,
  ""y"": 0,
  ""m"": 0,
  ""n"": 1
}",3623,
AliasDarteFeautrierGonnordSAS2010Fig1,6,openrouter,openai/gpt-5-mini,2026-03-15T20:31:38.392412,2026-03-15T20:32:05.157520,26.765108,"vars=['x', 'y', 'm', 'n'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x + 1), ReLU(y + 1)]","[ReLU(x + 1), ReLU(y + 1)]",NO,"{
  ""x"": 0,
  ""y"": 0,
  ""m"": 0,
  ""n"": 1
}",3996,
AliasDarteFeautrierGonnordSAS2010Fig1,7,openrouter,openai/gpt-5-mini,2026-03-15T20:32:08.800465,2026-03-15T20:33:26.922110,78.121645,"vars=['x', 'y', 'm', 'n'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(m + 1 - y), ReLU(x + 1)]","[ReLU(m + 1 - y), ReLU(x + 1)]",NO,"{
  ""x"": 0,
  ""y"": 0,
  ""m"": 0,
  ""n"": 0
}",9199,
AliasDarteFeautrierGonnordSAS2010Fig1,8,openrouter,openai/gpt-5-mini,2026-03-15T20:33:30.837199,2026-03-15T20:33:55.371985,24.534786,"vars=['x', 'y', 'm', 'n'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x+1), ReLU(y+1)]","[ReLU(x+1), ReLU(y+1)]",NO,"{
  ""x"": 0,
  ""y"": 0,
  ""m"": 0,
  ""n"": 1
}",3614,
AliasDarteFeautrierGonnordSAS2010Fig1,9,openrouter,openai/gpt-5-mini,2026-03-15T20:33:59.817422,2026-03-15T20:34:25.324501,25.507079,"vars=['x', 'y', 'm', 'n'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x), ReLU(y)]","[ReLU(x), ReLU(y)]",NO,"{
  ""x"": 0,
  ""y"": 0,
  ""m"": 0,
  ""n"": 1
}",3783,
AliasDarteFeautrierGonnordSAS2010Fig1,10,openrouter,openai/gpt-5-mini,2026-03-15T20:34:29.038693,2026-03-15T20:35:05.598290,36.559597,"vars=['x', 'y', 'm', 'n'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x + 1), ReLU(y + 1)]","[ReLU(x + 1), ReLU(y + 1)]",NO,"{
  ""x"": 0,
  ""y"": 0,
  ""m"": 0,
  ""n"": 1
}",4362,
AliasDarteFeautrierGonnordSAS2010cousot9,1,openrouter,openai/gpt-5-mini,2026-03-15T20:35:09.338027,2026-03-15T20:35:24.238394,14.900367,"vars=['i', 'j', 'n'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(i - 1), ReLU(j)]","[ReLU(i - 1), ReLU(j)]",NO,"{
  ""i"": 0,
  ""j"": 0,
  ""n"": 0
}",2276,
AliasDarteFeautrierGonnordSAS2010cousot9,2,openrouter,openai/gpt-5-mini,2026-03-15T20:35:27.746151,2026-03-15T20:35:46.613826,18.867675,"vars=['i', 'j', 'n'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(i), ReLU(j)]","[ReLU(i), ReLU(j)]",YES,,2962,
AliasDarteFeautrierGonnordSAS2010easy1,1,openrouter,openai/gpt-5-mini,2026-03-15T20:35:49.981114,2026-03-15T20:35:59.430232,9.449118,"vars=['x', 'y', 'z'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(40 - x)],[ReLU(40 - x)],YES,,1866,
AliasDarteFeautrierGonnordSAS2010easy22,1,openrouter,openai/gpt-5-mini,2026-03-15T20:36:02.799205,2026-03-15T20:36:09.445080,6.645875,"vars=['x', 'y', 'z'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(z)],[ReLU(z)],YES,,1917,
AliasDarteFeautrierGonnordSAS2010loops,1,openrouter,openai/gpt-5-mini,2026-03-15T20:36:12.842199,2026-03-15T20:36:50.506883,37.664684,"vars=['x', 'y', 'n'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(x + 1), ReLU(x - y)]","[ReLU(x + 1), ReLU(x - y)]",YES,,3784,
AliasDarteFeautrierGonnordSAS2010nestedLoop1,1,openrouter,openai/gpt-5-mini,2026-03-15T20:36:54.294979,2026-03-15T20:37:20.580601,26.285622,"vars=['i', 'j', 'k', 'm', 'n', 'N'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(n - i - 1)],[ReLU(n - i - 1)],NO,"{
  ""i"": 0,
  ""j"": 0,
  ""k"": 0,
  ""m"": 1,
  ""n"": 1,
  ""N"": 0
}",2998,
AliasDarteFeautrierGonnordSAS2010nestedLoop1,2,openrouter,openai/gpt-5-mini,2026-03-15T20:37:24.213783,2026-03-15T20:38:00.544468,36.330685,"vars=['i', 'j', 'k', 'm', 'n', 'N'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - i), ReLU(m - j)]","[ReLU(n - i), ReLU(m - j)]",NO,"{
  ""i"": 0,
  ""j"": 0,
  ""k"": 0,
  ""m"": 1,
  ""n"": 1,
  ""N"": 1
}",4299,
AliasDarteFeautrierGonnordSAS2010nestedLoop1,3,openrouter,openai/gpt-5-mini,2026-03-15T20:38:04.192361,2026-03-15T20:38:42.489888,38.297527,"vars=['i', 'j', 'k', 'm', 'n', 'N'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - i), ReLU(m - j)]","[ReLU(n - i), ReLU(m - j)]",NO,"{
  ""i"": 0,
  ""j"": 0,
  ""k"": 0,
  ""m"": 1,
  ""n"": 1,
  ""N"": 1
}",4499,
AliasDarteFeautrierGonnordSAS2010nestedLoop1,4,openrouter,openai/gpt-5-mini,2026-03-15T20:38:46.072983,2026-03-15T20:39:17.427460,31.354477,"vars=['i', 'j', 'k', 'm', 'n', 'N'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - i), ReLU(m - j), ReLU(N - 1 - k)]","[ReLU(n - i), ReLU(m - j), ReLU(N - 1 - k)]",YES,,3906,
AliasDarteFeautrierGonnordSAS2010random1d2,1,openrouter,openai/gpt-5-mini,2026-03-15T20:39:22.669588,2026-03-15T20:39:36.392456,13.722868,"vars=['a', 'x', 'm', 'n'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(m - x)],[ReLU(m - x)],YES,,2164,
AliasDarteFeautrierGonnordSAS2010random2d,1,openrouter,openai/gpt-5-mini,2026-03-15T20:39:40.134712,2026-03-15T20:39:48.611089,8.476377,"vars=['r', 'x', 'y', 'i'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(10 - i)],[ReLU(10 - i)],YES,,2220,
AliasDarteFeautrierGonnordSAS2010speedpldi2,1,openrouter,openai/gpt-5-mini,2026-03-15T20:39:52.403691,2026-03-15T20:40:22.514264,30.110573,"vars=['n', 'm', 'v2'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(v), ReLU(v2)]","[ReLU(v), ReLU(v2)]",YES,,3697,
AliasDarteFeautrierGonnordSAS2010speedpldi3,1,openrouter,openai/gpt-5-mini,2026-03-15T20:40:26.782926,2026-03-15T20:40:51.648463,24.865537,"vars=['n', 'm', 'j'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - i), ReLU(m - j)]","[ReLU(n - i), ReLU(m - j)]",YES,,3078,
AliasDarteFeautrierGonnordSAS2010speedpldi4,1,openrouter,openai/gpt-5-mini,2026-03-15T20:40:55.030849,2026-03-15T20:41:07.379818,12.348969,"vars=['n', 'm'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(i)],[ReLU(i)],YES,,2505,
AliasDarteFeautrierGonnordSAS2010wcet2,1,openrouter,openai/gpt-5-mini,2026-03-15T20:41:10.644504,2026-03-15T20:41:31.046475,20.401971,"vars=['i', 'j'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(5 - i), ReLU(10 - j)]","[ReLU(5 - i), ReLU(10 - j)]",YES,,2685,
AliasDarteFeautrierGonnordSAS2010while2,1,openrouter,openai/gpt-5-mini,2026-03-15T20:41:35.609191,2026-03-15T20:42:21.132521,45.52333,"vars=['n', 'j'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(i - 1), ReLU(j - 1)]","[ReLU(i - 1), ReLU(j - 1)]",NO,"{
  ""n"": 1
}",4410,
AliasDarteFeautrierGonnordSAS2010while2,2,openrouter,openai/gpt-5-mini,2026-03-15T20:42:24.803704,2026-03-15T20:42:51.102215,26.298511,"vars=['n', 'j'], has_cex=True, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(i), ReLU(j)]","[ReLU(i), ReLU(j)]",YES,,3333,
AliasDarteFeautrierGonnordSAS2010wise,1,openrouter,openai/gpt-5-mini,2026-03-15T20:42:54.801351,2026-03-15T20:43:05.983333,11.181982,"vars=['x', 'y'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x - y - 2) + ReLU(y - x - 2)],[ReLU(x - y - 2) + ReLU(y - x - 2)],YES,,2218,
AveryFLOPS2006Table1,1,openrouter,openai/gpt-5-mini,2026-03-15T20:43:09.148114,2026-03-15T20:45:33.850071,144.701957,"vars=['x', 'y', 'i'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(i), ReLU(y - i)]","[ReLU(i), ReLU(y - i)]",YES,,10667,
BradleyMannaSipmaCAV2005Fig1,1,openrouter,openai/gpt-5-mini,2026-03-15T20:45:37.703790,2026-03-15T20:45:55.988064,18.284274,"vars=['y1', 'y2'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(y1 - y2) + ReLU(y2)],[ReLU(y1 - y2) + ReLU(y2)],YES,,2695,
BrockschmidtCookFuhsCAV2013Fig1,1,openrouter,openai/gpt-5-mini,2026-03-15T20:45:59.254927,2026-03-15T20:46:27.488620,28.233693,"vars=['i', 'j', 'n'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - i - 1), ReLU(i + 1 - j)]","[ReLU(n - i - 1), ReLU(i + 1 - j)]",YES,,3194,
BrockschmidtCookFuhsCAV2013Fig9a,1,openrouter,openai/gpt-5-mini,2026-03-15T20:46:31.544674,2026-03-15T20:47:13.434555,41.889881,"vars=['k', 'i', 'j', 'n'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(n - i), ReLU(i - j + 1)]","[ReLU(n - i), ReLU(i - j + 1)]",YES,,4724,
BrockschmidtCookFuhsCAV2013Introduction,1,openrouter,openai/gpt-5-mini,2026-03-15T20:47:17.046212,2026-03-15T20:47:32.527116,15.480904,"vars=['x'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x)],[ReLU(x)],YES,,2238,
ChawdharyCookGulwaniSagivYangESOP2008easy1,1,openrouter,openai/gpt-5-mini,2026-03-15T20:47:36.066681,2026-03-15T20:47:51.435392,15.368711,"vars=['z', 'y'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(40 - 1*x)],[ReLU(40 - 1*x)],YES,,2273,
ChawdharyCookGulwaniSagivYangESOP2008easy2,1,openrouter,openai/gpt-5-mini,2026-03-15T20:47:54.711152,2026-03-15T20:48:02.773406,8.062254,"vars=['z', 'y'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(z)],[ReLU(z)],YES,,1809,
ChawdharyCookGulwaniSagivYangESOP2008random1d,1,openrouter,openai/gpt-5-mini,2026-03-15T20:48:07.441717,2026-03-15T20:48:16.862224,9.420507,"vars=['a', 'x', 'm', 'n'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(m - x + 1)],[ReLU(m - x + 1)],YES,,2027,
ChawdharyCookGulwaniSagivYangESOP2008random2d,1,openrouter,openai/gpt-5-mini,2026-03-15T20:48:20.165767,2026-03-15T20:48:30.225169,10.059402,"vars=['r', 'x', 'y', 'i'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(10 - i)],[ReLU(10 - i)],YES,,2090,
ChenFlurMukhopadhyaySAS2012Ex220,1,openrouter,openai/gpt-5-mini,2026-03-15T20:48:33.666343,2026-03-15T20:48:55.471030,21.804687,"vars=['x', 'y', 'z'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x)],[ReLU(x)],YES,,2759,
ChenFlurMukhopadhyaySAS2012Ex301,1,openrouter,openai/gpt-5-mini,2026-03-15T20:48:59.317964,2026-03-15T20:49:27.122786,27.804822,"vars=['x', 'y', 'z'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None","[ReLU(z - x), ReLU(y - x)]","[ReLU(z - x), ReLU(y - x)]",YES,,3250,
CookSeeZulegerTACAS2013Fig1,1,openrouter,openai/gpt-5-mini,2026-03-15T20:49:30.834268,2026-03-15T20:49:41.594588,10.76032,"vars=['x', 'y', 'z'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x)],[ReLU(x)],YES,,2103,
CookSeeZulegerTACAS2013Fig7a,1,openrouter,openai/gpt-5-mini,2026-03-15T20:49:45.287572,2026-03-15T20:49:59.622205,14.334633,"vars=['x', 'y', 'd', 'z'], has_cex=False, single_turn=True, target_dim=None, loop_keywords=None",[ReLU(x)],[ReLU(x)],YES,,2280,
