caseName,candidateFunction,executionStatus,verificationStatus,conclusion,counterexample,message
AveryFLOPS2006Table1#loop,"[ ReLU(i - 1), ReLU(i - y) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 1,
  ""y"": 2
}",Checker completed: candidate function could not prove termination.
BradleyMannaSipmaCAV2005Fig1#loop,"[ ReLU(y1 - 1), ReLU(y2 - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
BrockschmidtCookFuhsCAV2013Fig1#loop,"[ ReLU(i - n), ReLU(j - i) ]",COMPLETED,NOT_PROVED,NO,"{
  ""i"": 0,
  ""j"": 0,
  ""n"": 1
}",Checker completed: candidate function could not prove termination.
BrockschmidtCookFuhsCAV2013Fig9a#loop,"[ ReLU(i - 1), ReLU(j - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""i"": 0,
  ""j"": 0,
  ""k"": 1,
  ""n"": 1
}",Checker completed: candidate function could not prove termination.
BrockschmidtCookFuhsCAV2013Introduction#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 1
}",Checker completed: candidate function could not prove termination.
ChawdharyCookGulwaniSagivYangESOP2008easy1#loop,"[ ReLU(x - 40), ReLU(y - 100) ]",COMPLETED,NOT_PROVED,NO,"{
  ""z"": 1
}",Checker completed: candidate function could not prove termination.
ChawdharyCookGulwaniSagivYangESOP2008easy2#loop,"[ ReLU(z - 1), ReLU(x + 1), ReLU(-y) ]",COMPLETED,NOT_PROVED,NO,"{
  ""z"": 0
}",Checker completed: candidate function could not prove termination.
ChawdharyCookGulwaniSagivYangESOP2008random1d#loop,"[ ReLU(a + 1), ReLU(m - x) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
ChawdharyCookGulwaniSagivYangESOP2008random2d#loop,"[ ReLU(i - 1), ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""r"": 0
}",Checker completed: candidate function could not prove termination.
ChenFlurMukhopadhyaySAS2012Ex220#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
ChenFlurMukhopadhyaySAS2012Ex301#loop,"[ ReLU(x - 1), ReLU(y - 1), ReLU(z - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0,
  ""z"": 0
}",Checker completed: candidate function could not prove termination.
CookSeeZulegerTACAS2013Fig1#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0,
  ""z"": 0
}",Checker completed: candidate function could not prove termination.
CookSeeZulegerTACAS2013Fig7a#loop,"[ ReLU(x - 1), ReLU(y - 1), ReLU(d - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""d"": 0,
  ""x"": 0,
  ""y"": 0,
  ""z"": 0
}",Checker completed: candidate function could not prove termination.
CookSeeZulegerTACAS2013Fig7b#loop,"[ ReLU(x - 1), ReLU(y - 1), ReLU(z - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""a"": 0,
  ""b"": 0,
  ""c"": 1,
  ""d"": 3,
  ""x"": 0,
  ""y"": 0,
  ""z"": 0
}",Checker completed: candidate function could not prove termination.
CookSeeZulegerTACAS2013Fig8amodified#loop,"[ ReLU(x - k), ReLU(k - x) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
CookSeeZulegerTACAS2013Fig8a#loop,[ ReLU(x - 1) ],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0
}",Checker completed: candidate function could not prove termination.
CookSeeZulegerTACAS2013Fig8b#loop,"[ ReLU(x - y), ReLU(m - x) ]",ERROR,CHECKER_ERROR,ERROR,,Checker returned an error (exit code 1).
GopanRepsCAV2006Fig1a#loop,"[ ReLU(x - 51), ReLU(y + 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
HarrisLalNoriRajamaniSAS2010Fig1#loop,"[ ReLU(a - 1), ReLU(x - 1), ReLU(y - 1), ReLU(k - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""a"": 1,
  ""b"": 0,
  ""c"": 1,
  ""x"": 0,
  ""y"": 0,
  ""k"": 0
}",Checker completed: candidate function could not prove termination.
HarrisLalNoriRajamaniSAS2010Fig3#loop,[ ReLU(x - 1) ],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""n"": 1
}",Checker completed: candidate function could not prove termination.
HeizmannHoenickeLeikePodelskiATVA2013Fig1#loop,"[ ReLU(x - 24), ReLU(y - 24) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0
}",Checker completed: candidate function could not prove termination.
HeizmannHoenickeLeikePodelskiATVA2013Fig4#loop,[ ReLU(x - 24) ],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 24
}",Checker completed: candidate function could not prove termination.
HeizmannHoenickeLeikePodelskiATVA2013Fig5#loop,"[ ReLU(x + 4), ReLU(y + 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
HeizmannHoenickeLeikePodelskiATVA2013Fig6#loop,"[ ReLU(x + 1), ReLU(y + 1), ReLU(z + 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
KroeningSharyginaTsitovichWintersteigerCAV2010Ex#loop,[ ReLU(i - 255) ],COMPLETED,NOT_PROVED,NO,"{
  ""i"": 0,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.
KroeningSharyginaTsitovichWintersteigerCAV2010Fig1#loop,"[ ReLU(x - 254), ReLU(d) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0
}",Checker completed: candidate function could not prove termination.
LarrazOliverasRodriguezCarbonellRubioFMCAD2013Fig1#loop,"[ ReLU(x - 1), ReLU(y - 1), ReLU(z - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 1,
  ""z"": 0
}",Checker completed: candidate function could not prove termination.
LeikeHeizmannTACAS2014Ex1#loop,"[ ReLU(ReLU(q - 1) + ReLU(y - 1)), ReLU(ReLU(q + y - 1) + ReLU(-y - 1)) ]",ERROR,CHECKER_ERROR,ERROR,,Checker returned an error (exit code 1).
LeikeHeizmannTACAS2014Ex9#loop,"[ ReLU(p - 1), ReLU(q - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""p"": 0,
  ""q"": 0
}",Checker completed: candidate function could not prove termination.
LeikeHeizmannWST2014Ex9#loop,[ ReLU(x - 1) ],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0
}",Checker completed: candidate function could not prove termination.
PodelskiRybalchenkoLICS2004Fig1#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
PodelskiRybalchenkoTACAS2011Fig1#loop,[ ReLU(y - 1) ],COMPLETED,NOT_PROVED,NO,"{
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
PodelskiRybalchenkoTACAS2011Fig2#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
PodelskiRybalchenkoTACAS2011Fig4#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""a"": 1,
  ""b"": 0,
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
UrbanWST2013Fig2modified1000#loop,"[ ReLU(x - 11), ReLU(y - 1001) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
UrbanWST2013Fig2#loop,"[ ReLU(x - 11), ReLU(y - 10) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
UrbanMineESOP2014Fig3#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""a"": 0,
  ""b"": 0,
  ""c"": 0,
  ""d"": 0,
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
aviad#loop,"[ ReLU(a - 1), ReLU(c - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
genady#loop,"[ ReLU(i - 10000), ReLU(10000 - j) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
B2Nested1#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 1
}",Checker completed: candidate function could not prove termination.
B4BitCounterPointer#loop,"[ ReLU(a - 1), ReLU(b - 1), ReLU(c - 1), ReLU(d - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
B4NestedWith3Variables1#loop,"[ ReLU(ReLU(q - 1) + ReLU(a - 1) + ReLU(b - 1)), ReLU(ReLU(o - 1) + ReLU(a - 1) + ReLU(b - 1)) ]",ERROR,CHECKER_ERROR,ERROR,,Checker returned an error (exit code 1).
Bangalore2#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 1,
  ""y"": 1
}",Checker completed: candidate function could not prove termination.
Bangalorev4#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 1,
  ""y"": 1
}",Checker completed: candidate function could not prove termination.
Benghazi#loop,"[ ReLU(x - 73), ReLU(d - 74), ReLU(e - 75) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0
}",Checker completed: candidate function could not prove termination.
Benghazinondet2#loop,"[ ReLU(x - 1), ReLU(d - 1), ReLU(e - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""d"": 0,
  ""e"": 0,
  ""x"": 0
}",Checker completed: candidate function could not prove termination.
Cairo#loop,[ ReLU(x - 1) ],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 1
}",Checker completed: candidate function could not prove termination.
Cairostep21#loop,"[ ReLU(x - 1), ReLU(x + 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Collatzbounded#loop,[ ReLU(y - 1) ],COMPLETED,NOT_PROVED,NO,"{
  ""y"": 3
}",Checker completed: candidate function could not prove termination.
Copenhagen#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0,
  ""o"": 0
}",Checker completed: candidate function could not prove termination.
Copenhagendisj2#loop,"[ ReLU(x + 1), ReLU(y + 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 1,
  ""y"": 3
}",Checker completed: candidate function could not prove termination.
Gothenburg1#loop,"[ ReLU(a - 1), ReLU(b - 1), ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""a"": 0,
  ""b"": 0,
  ""x"": 1,
  ""y"": 1
}",Checker completed: candidate function could not prove termination.
Gothenburgv21#loop,"[ ReLU(a - b - 1), ReLU(x + a - b - 1), ReLU(y + b - a - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
LobnyaBooleanReordered2#loop,"[ ReLU(x + 1), ReLU(b + 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
McCarthy91Iteration#loop,"[ ReLU(n - 100), ReLU(c - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""n"": 0
}",Checker completed: candidate function could not prove termination.
MenloPark#loop,"[ ReLU(x - 1), ReLU(y - 1), ReLU(z + 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0
}",Checker completed: candidate function could not prove termination.
Mysore2#loop,"[ ReLU(c - 1), ReLU(x - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""c"": 2,
  ""x"": 2
}",Checker completed: candidate function could not prove termination.
Nyala2lex2#loop,"[ ReLU(x), ReLU(y) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Parallel#loop,"[ ReLU(x + 1), ReLU(y + 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Piecewise#loop,"[ ReLU(q - 1), ReLU(p - 1), ReLU(n - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""p"": 0,
  ""q"": 0,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.
Pure2Phase1#loop,"[ ReLU(y - 1), ReLU(z - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""y"": 1,
  ""z"": 0,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.
Pure3Phase1#loop,"[ ReLU(x + 65535), ReLU(65535 - y), ReLU(z + 1), ReLU(n) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0,
  ""y"": 0,
  ""z"": 0,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.
Singapore2#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""x"": 2,
  ""y"": 1
}",Checker completed: candidate function could not prove termination.
Stockholm1#loop,"[ ReLU(x + 1), ReLU(a + 1), ReLU(b + 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
TelAvivAmirMinimum#loop,"[ ReLU(n - 1), ReLU(n - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""t"": 0,
  ""x"": 0,
  ""y"": 0,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.
Thun2#loop,"[ ReLU(x + 65535), ReLU(-2 * y - 1 + 65536) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
ToulouseBranchesToLoop2#loop,"[ ReLU(y - 100), ReLU(z - 100) ]",COMPLETED,NOT_PROVED,NO,"{
  ""y"": 0,
  ""z"": 0,
  ""n"": 1
}",Checker completed: candidate function could not prove termination.
ToulouseMultiBranchesToLoop2#loop,"[ ReLU(y - 100), ReLU(100 - z) ]",COMPLETED,NOT_PROVED,NO,"{
  ""y"": 0,
  ""z"": 0,
  ""n"": 1
}",Checker completed: candidate function could not prove termination.
Waldkirch#loop,[ ReLU(x - 1) ],COMPLETED,NOT_PROVED,NO,"{
  ""x"": 0
}",Checker completed: candidate function could not prove termination.
WhileFalse#loop,[ ReLU(x) ],COMPLETED,PROVED,YES,,Checker completed: termination was proven.
easy1#loop,[ ReLU(x - 40) ],COMPLETED,NOT_PROVED,NO,"{
  ""z"": 1
}",Checker completed: candidate function could not prove termination.
easy22#loop,"[ ReLU(z - 1), ReLU(x + 1), ReLU(-y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""z"": 0
}",Checker completed: candidate function could not prove termination.
Bresenham1botht#loop,"[ ReLU(2 * Y * x - 2 * X * y - X + 2 * Y - v + c - k - 1), ReLU(v + 1), ReLU(y + 1), ReLU(x + 1) ]",ERROR,CHECKER_ERROR,ERROR,,Checker returned an error (exit code 1).
Cohencu1botht#loop,"[ ReLU(6 - (6 * n + 6)), ReLU(a - 6 * n), ReLU(x - y), ReLU(y - z), ReLU(z - 6 * n) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Cohencu2botht#loop,"[ ReLU(3 * n * n + 3 * n + 1 - k), ReLU(n - 1), ReLU(x - y), ReLU(y - z), ReLU(z - 6) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Cohencu3botht#loop,"[ ReLU(n - 1), ReLU(x - 1), ReLU(y - 1), ReLU(z - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Cohencu4botht#loop,"[ ReLU(n - 1), ReLU(y - 1), ReLU(z - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Cohencu5botht#loop,"[ ReLU(a - 1), ReLU(n - 1), ReLU(x - 1), ReLU(y - 1), ReLU(z - 1), ReLU(c - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Cohencu6botht#loop,"[ ReLU(n + 3 * n * n + 3 * n - a), ReLU(x - y), ReLU(y - z), ReLU(z - 6) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Cohencu7botht#loop,"[ ReLU(a + 1 - 1), ReLU(x + y - (a + 1) * (a + 1) * (a + 1)) ]",ERROR,CHECKER_ERROR,ERROR,,Checker returned an error (exit code 1).
Dijkstra1botht#loop,"[ ReLU(n - 1), ReLU(p - 1), ReLU(q - 1), ReLU(r - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Dijkstra2botht#loop,"[ ReLU(p - 1), ReLU(q - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Dijkstra3botht#loop,"[ ReLU(h - 1), ReLU(q - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""p"": 0,
  ""q"": 1,
  ""r"": 0,
  ""c"": 0,
  ""h"": 0,
  ""k"": 0,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.
Dijkstra4botht#loop,"[ ReLU(h - 1), ReLU(q - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""p"": 0,
  ""q"": 1,
  ""r"": 0,
  ""c"": 0,
  ""h"": 0,
  ""k"": 0,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.
Dijkstra5botht#loop,"[ ReLU(h - 1), ReLU(q - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""p"": 0,
  ""q"": 1,
  ""r"": 0,
  ""c"": 0,
  ""h"": 0,
  ""k"": 0,
  ""n"": 0
}",Checker completed: candidate function could not prove termination.
Dijkstra6botht#loop,"[ ReLU(p - 1), ReLU(q - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Egcdbotht#loop,"[ ReLU(a - 1), ReLU(b - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""p"": 1,
  ""a"": 0,
  ""q"": 0,
  ""b"": 0,
  ""r"": 0,
  ""s"": 1,
  ""x"": 15,
  ""y"": 5
}",Checker completed: candidate function could not prove termination.
Egcd2botht#loop,"[ ReLU(a - 1), ReLU(b - 1), ReLU(c - 1), ReLU(k - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""p"": 1,
  ""a"": 0,
  ""q"": 0,
  ""b"": 0,
  ""r"": 0,
  ""temp"": 0,
  ""s"": 1,
  ""c"": 0,
  ""k"": 0
}",Checker completed: candidate function could not prove termination.
Egcd3botht#loop,"[ ReLU(a - 1), ReLU(b - 1), ReLU(p - 1), ReLU(q - 1), ReLU(r - 1), ReLU(s - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""p"": 1,
  ""a"": 0,
  ""q"": 0,
  ""b"": 0,
  ""r"": 0,
  ""s"": 1,
  ""c"": 0,
  ""d"": 0,
  ""v"": 0,
  ""k"": 0
}",Checker completed: candidate function could not prove termination.
Fermat1botht#loop,"[ ReLU(u - 1), ReLU(v - 1), ReLU(r - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""cc"": 0,
  ""kk"": 0,
  ""A"": 0,
  ""R"": 0,
  ""r"": 0,
  ""c"": 0,
  ""u"": 0,
  ""v"": 1,
  ""k"": 0
}",Checker completed: candidate function could not prove termination.
Freire1botht#loop,"[ ReLU(ReLU(x - 1) + ReLU(r - 1)), ReLU(r - 1) ]",ERROR,CHECKER_ERROR,ERROR,,Checker returned an error (exit code 1).
Geo1botht#loop,"[ ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""c"": 1,
  ""x"": 1,
  ""y"": 0,
  ""z"": 1,
  ""k"": 0
}",Checker completed: candidate function could not prove termination.
Geo2botht#loop,"[ ReLU(1 + x * z - x - z * y + c - k + 1), ReLU(c + 1 - c), ReLU(x * z + 1 - x), ReLU(y * z - y) ]",ERROR,CHECKER_ERROR,ERROR,,Checker returned an error (exit code 1).
Geo3botht#loop,"[ ReLU(z - 1), ReLU(x - 1), ReLU(y - 1) ]",COMPLETED,NOT_PROVED,NO,,Checker completed: candidate function could not prove termination.
Hardbotht#loop,"[ ReLU(a - 1), ReLU(b - 1), ReLU(r - 1), ReLU(d - 1), ReLU(p - 1), ReLU(q - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Hard2botht#loop,"[ ReLU(a - 1), ReLU(b - 1), ReLU(d - 1), ReLU(p - 1), ReLU(q - 1) ]",COMPLETED,PROVED,YES,,Checker completed: termination was proven.
Lcm2botht#loop,"[ ReLU(x - 1), ReLU(y - 1), ReLU(u - 1), ReLU(v - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""a"": 0,
  ""b"": 1,
  ""u"": 0,
  ""v"": 0,
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
Mannadivbotht#loop,"[ ReLU(x), ReLU(y - 1), ReLU(a + b + c - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""a"": 0,
  ""b"": 0,
  ""c"": 0,
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
Prod4brbotht#loop,"[ ReLU(a - 1), ReLU(b - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""p"": 1,
  ""a"": 0,
  ""q"": 0,
  ""b"": 0,
  ""x"": 0,
  ""y"": 0
}",Checker completed: candidate function could not prove termination.
Prodbinbotht#loop,"[ ReLU(a - 1), ReLU(b - 1), ReLU(x - 1), ReLU(y - 1), ReLU(z - 1) ]",COMPLETED,NOT_PROVED,NO,"{
  ""a"": 0,
  ""b"": 0,
  ""x"": 0,
  ""y"": 0,
  ""z"": 0
}",Checker completed: candidate function could not prove termination.
